Year,State,Award Amount
2018,KY,21161372
2018,LA,51377386
2018,MA,78523594
2018,MD,53385248
2018,ME,13091730
2018,MI,73654969
2018,MN,34078630
2018,MO,36369089
2018,MP,14244
2018,MS,5049204
2018,MT,2681779
2018,NC,26157577
2018,ND,1876781
2018,NE,9108192
2018,NH,7674344
2018,NJ,48017236
2018,NM,11187659
2018,NV,16460020
2018,NY,214906456
2018,OH,104524400
2018,OK,8546252
2018,OR,38596299
2018,PA,108050831
2018,PR,18683589
2018,RI,7160233
2018,SC,10854731
2018,SD,1316523
2018,TN,21488296
2018,TX,97243257
2018,UT,10903163
2018,VA,30825720
2018,VI,192882
2018,VT,4793421
2018,WA,67473372
2018,WI,25556871
2018,WV,8751479
2018,WY,288790
2017,AK,3731246
2017,AL,17802978
2017,AR,4270569
2017,AZ,38526473
2017,CA,382567077
2017,CO,30593296
2017,CT,45869536
2017,DC,22090633
2017,DE,7952480
2017,FL,84273839
2017,GA,41032810
2017,GU,1095776
2017,HI,11762496
2017,IA,9108676
2017,ID,3717376
2017,IL,109111520
2017,IN,19300787
2017,KS,7835720
2017,KY,19389282
2017,LA,47049826
2017,MA,73552552
2017,MD,50221552
2017,ME,12932975
2017,MI,70300799
2017,MN,33094266
2017,MO,35730419
2017,MS,5026381
2017,MT,2500597
2017,NC,25577229
2017,ND,1816359
2017,NE,9050905
2017,NH,7253904
2017,NJ,45899952
2017,NM,10728359
2017,NV,15862842
2017,NY,200807611
2017,OH,95840276
2017,OK,8123906
2017,OR,36289447
2017,PA,102583484
2017,PR,19383733
2017,RI,5796184
2017,SC,9954311
2017,SD,1294469
2017,TN,20735568
2017,TX,88801836
2017,UT,10386327
2017,VA,29919522
2017,VI,135371
2017,VT,4632864
2017,WA,59556796
2017,WI,23750589
2017,WV,8327359
2017,WY,292970
2016,AK,3697135
2016,AL,17172393
2016,AR,4293758
2016,AZ,37833350
2016,CA,353937202
2016,CO,29756915
2016,CT,44583760
2016,DC,21390844
2016,DE,7858054
2016,FL,82019040
2016,GA,38648979
2016,GU,1121767
2016,HI,11519682
2016,IA,8838430
2016,ID,3669450
2016,IL,104862190
2016,IN,17889804
2016,KS,7532204
2016,KY,19063607
2016,LA,45603512
2016,MA,69803032
2016,MD,48235071
2016,ME,11810751
2016,MI,67592108
2016,MN,32071558
2016,MO,34048619
2016,MS,5367903
2016,MT,2446282
2016,NC,24907727
2016,ND,1903991
2016,NE,8519702
2016,NH,7142578
2016,NJ,45574610
2016,NM,10758013
2016,NV,15762359
2016,NY,196014483
2016,OH,94869563
2016,OK,7891816
2016,OR,34686509
2016,PA,100574444
2016,PR,18715977
2016,RI,5932887
2016,SC,9734026
2016,SD,1264095
2016,TN,20611110
2016,TX,86315343
2016,UT,10089585
2016,VA,28460145
2016,VI,107651
2016,VT,4478212
2016,WA,58713109
2016,WI,23586361
2016,WV,7864812
2016,WY,291611
2015,AK,3712473
2015,AL,17096421
2015,AR,4440716
2015,AZ,39318816
2015,CA,336507106
2015,CO,29714758
2015,CT,43661777
2015,DC,23888687
2015,DE,7785779
2015,FL,82307340
2015,GA,38048336
2015,GU,1122558
2015,HI,11366445
2015,IA,8427262
2015,ID,3713768
2015,IL,102735270
2015,IN,16334262
2015,KS,8869983
2015,KY,18635431
2015,LA,43574952
2015,MA,68050963
2015,MD,47028670
2015,ME,11977853
2015,MI,70003848
2015,MN,32076052
2015,MO,31381154
2015,MS,5444246
2015,MT,2455596
2015,NC,22576438
2015,ND,2047642
2015,NE,8478519
2015,NH,6904996
2015,NJ,40749888
2015,NM,10292957
2015,NV,15554510
2015,NY,209102768
2015,OH,95491545
2015,OK,8082799
2015,OR,31894306
2015,PA,102263057
2015,PR,18977953
2015,RI,5985905
2015,SC,9906624
2015,SD,1126640
2015,TN,20390357
2015,TX,87150963
2015,UT,10119752
2015,VA,28179238
2015,VI,115754
2015,VT,4268389
2015,WA,58901039
2015,WI,23589890
2015,WV,7648101
2015,WY,290415
2014,AK,3676398
2014,AL,16844653
2014,AR,4923250
2014,AZ,39258830
2014,CA,307573759
2014,CO,25814762
2014,CT,39109836
2014,DC,21213697
2014,DE,6745030
2014,FL,84255169
2014,GA,37071955
2014,GU,1346148
2014,HI,11620000
2014,IA,8346433
2014,ID,4076606
2014,IL,100101004
2014,IN,16411898
2014,KS,9158715
2014,KY,19006587
2014,LA,31585302
