"Total Beds ES, TH, PSH",State,Year
8615,LA,2016
28721,MA,2016
14199,MD,2016
5030,ME,2016
19176,MI,2016
19127,MN,2016
11859,MO,2016
1717,MS,2016
1928,MT,2016
14880,NC,2016
1555,ND,2016
3846,NE,2016
2564,NH,2016
13023,NJ,2016
4268,NM,2016
6330,NV,2016
126698,NY,2016
26503,OH,2016
5309,OK,2016
12273,OR,2016
28529,PA,2016
2574,RI,2016
5887,SC,2016
1775,SD,2016
11973,TN,2016
32916,TX,2016
4892,UT,2016
10200,VA,2016
1323,VT,2016
24965,WA,2016
9427,WI,2016
3071,WV,2016
1020,WY,2016
6574,AL,2015
3194,AR,2015
14222,AZ,2015
95978,CA,2015
10962,CO,2015
9615,CT,2015
1873,DE,2015
38159,FL,2015
17538,GA,2015
4628,IA,2015
2713,ID,2015
24057,IL,2015
9632,IN,2015
4359,KS,2015
7434,KY,2015
8620,LA,2015
28742,MA,2015
13372,MD,2015
5325,ME,2015
18282,MI,2015
19151,MN,2015
11658,MO,2015
1812,MS,2015
1774,MT,2015
15587,NC,2015
1712,ND,2015
3997,NE,2015
2470,NH,2015
13656,NJ,2015
4326,NM,2015
7028,NV,2015
126333,NY,2015
26006,OH,2015
5296,OK,2015
12023,OR,2015
29482,PA,2015
2648,RI,2015
5719,SC,2015
2081,SD,2015
11765,TN,2015
33742,TX,2015
5139,UT,2015
10041,VA,2015
1428,VT,2015
24059,WA,2015
9557,WI,2015
2968,WV,2015
1060,WY,2015
6581,AL,2014
3074,AR,2014
16191,AZ,2014
89408,CA,2014
11532,CO,2014
9116,CT,2014
1770,DE,2014
37920,FL,2014
16179,GA,2014
4741,IA,2014
2603,ID,2014
24898,IL,2014
9764,IN,2014
4576,KS,2014
7328,KY,2014
9137,LA,2014
27349,MA,2014
12990,MD,2014
5179,ME,2014
19231,MI,2014
18257,MN,2014
12889,MO,2014
2137,MS,2014
1901,MT,2014
15321,NC,2014
1586,ND,2014
4479,NE,2014
2472,NH,2014
13265,NJ,2014
4096,NM,2014
7992,NV,2014
113001,NY,2014
24897,OH,2014
5222,OK,2014
12749,OR,2014
27502,PA,2014
2701,RI,2014
5209,SC,2014
2273,SD,2014
11330,TN,2014
34499,TX,2014
4955,UT,2014
9792,VA,2014
1632,VT,2014
23887,WA,2014
9115,WI,2014
3171,WV,2014
1051,WY,2014
6438,AL,2013
3508,AR,2013
15528,AZ,2013
86290,CA,2013
10507,CO,2013
9259,CT,2013
1802,DE,2013
37852,FL,2013
15876,GA,2013
4893,IA,2013
2540,ID,2013
24208,IL,2013
9980,IN,2013
4316,KS,2013
7806,KY,2013
9315,LA,2013
26749,MA,2013
13142,MD,2013
5432,ME,2013
18819,MI,2013
17121,MN,2013
12876,MO,2013
2270,MS,2013
2076,MT,2013
15480,NC,2013
1299,ND,2013
4575,NE,2013
2317,NH,2013
12762,NJ,2013
3949,NM,2013
6502,NV,2013
107864,NY,2013
24133,OH,2013
5224,OK,2013
13111,OR,2013
27662,PA,2013
2779,RI,2013
5830,SC,2013
2202,SD,2013
11294,TN,2013
33491,TX,2013
4826,UT,2013
10099,VA,2013
1957,VT,2013
23707,WA,2013
9201,WI,2013
3156,WV,2013
1103,WY,2013
6872,AL,2012
3731,AR,2012
15293,AZ,2012
97027,CA,2012
9503,CO,2012
8802,CT,2012
1737,DE,2012
36986,FL,2012
14336,GA,2012
4673,IA,2012
2465,ID,2012
24661,IL,2012
9969,IN,2012
4268,KS,2012
8044,KY,2012
8795,LA,2012
25615,MA,2012
11925,MD,2012
4735,ME,2012
19242,MI,2012
16328,MN,2012
12646,MO,2012
1900,MS,2012
1921,MT,2012
14256,NC,2012
1220,ND,2012
4489,NE,2012
2222,NH,2012
12478,NJ,2012
4229,NM,2012
7104,NV,2012
99316,NY,2012
24964,OH,2012
4984,OK,2012
12909,OR,2012
26698,PA,2012
3064,RI,2012
6440,SC,2012
2058,SD,2012
10756,TN,2012
33084,TX,2012
4729,UT,2012
10360,VA,2012
1490,VT,2012
25324,WA,2012
8794,WI,2012
2863,WV,2012
1047,WY,2012
6996,AL,2011
3766,AR,2011
13439,AZ,2011
91989,CA,2011
9283,CO,2011
8627,CT,2011
1677,DE,2011
35582,FL,2011
16679,GA,2011
4876,IA,2011
2434,ID,2011
23776,IL,2011
9415,IN,2011
4069,KS,2011
8472,KY,2011
8210,LA,2011
24690,MA,2011
12158,MD,2011
4734,ME,2011
26621,MI,2011
15650,MN,2011
11972,MO,2011
1680,MS,2011
1537,MT,2011
14550,NC,2011
1218,ND,2011
4625,NE,2011
2407,NH,2011
11537,NJ,2011
4243,NM,2011
7078,NV,2011
103522,NY,2011
23431,OH,2011
4419,OK,2011
12254,OR,2011
26085,PA,2011
3013,RI,2011
5257,SC,2011
1600,SD,2011
10443,TN,2011
33192,TX,2011
4498,UT,2011
10392,VA,2011
1292,VT,2011
25213,WA,2011
9144,WI,2011
2682,WV,2011
880,WY,2011
6376,AL,2010
3598,AR,2010
